Store Number,R,P,C
11854,5171050,4227746,943304
79420,3766392,-3386237,7152629
3872,7935455,6978394,957061
13448,6652067,-2957730,9609797
10325,4649923,2413137,2236786
7459,2743118,-2150741,4893859
11182,7235935,6199211,1036724
7329,8818047,1086381,7731666
7907,2592451,-848770,3441221
76864,2193494,-420242,2613736
9991,1473845,352106,1121739
76677,6456219,5935641,520578
7570,3348381,-818264,4166645
16926,7022373,-902654,7925027
76855,3416367,-2212985,5629352
13411,7857068,7010606,846462
75663,7102406,-1021492,8123898
76481,9332666,103226,9229440
7773,3935422,-3313064,7248486
885,6520073,2370363,4149710
9716,7621345,326066,7295279
7960,3637364,3155742,481622
7450,3865927,-5720632,9586559
14996,1249148,-1371859,2621007
10278,2167954,-1234401,3402355
11531,1238354,-7044774,8283128
5107,1996570,1280093,716477
11848,6138387,417090,5721297
7658,1023381,-458716,1482097
833,1696744,-6025838,7722582
2765,8180642,-1251149,9431791
11757,4758701,-3871146,8629847
8650,1742594,-5234870,6977464
9269,6359512,3946210,2413302
7356,4876768,4011515,865253
7772,5626135,-2327740,7953875
15489,1186175,-7809723,8995898
9984,6933482,-2426166,9359648
75861,1423696,-7706773,9130469
75860,8791494,4464263,4327231
7812,3350318,-772055,4122373
7522,2423476,-1988349,4411825
13978,4479933,-3110294,7590227
802,9854674,4370358,5484316
7269,3751058,-1814892,5565950
9913,7511871,5666680,1845191
7279,9003008,7549073,1453935
10598,8121825,7248881,872944
7258,3454027,-2656409,6110436
876,5451819,4335313,1116506
7553,7610683,-621629,8232312
866,6658849,1528265,5130584
76681,9102793,482756,8620037
7283,3294243,2573024,721219
7364,8750653,7685260,1065393
7205,7641127,6070163,1570964
8988,3980280,-2764437,6744717
10037,7588603,-586925,8175528
76315,9970330,8803334,1166996
816,3537769,-153995,3691764
15208,2936398,-5231389,8167787
14138,1626693,-3672353,5299046
78032,8402052,7492963,909089
7502,6558287,-642802,7201089
871,4144885,97706,4047179
7835,2185453,-181048,2366501
8873,7466952,7339346,127606
2764,9555890,4804561,4751329
827,7752402,2311678,5440724
16917,4071125,2601938,1469187
75650,6659063,5221385,1437678
810,9529657,5254087,4275570
7241,4856571,766639,4089932
7538,9192653,8713806,478847
7102,2097443,-4950689,7048132
861,3083065,-3111724,6194789
75840,7875538,-697856,8573394
16158,2224759,-244251,2469010
7436,1780033,-475848,2255881
75808,2079464,-6180921,8260385
7550,2351435,2131379,220056
72417,4328006,-4442956,8770962
75534,3520659,-4732646,8253305
7338,7094578,220413,6874165
75649,5390534,-2368750,7759284
8742,3333581,2601132,732449
72208,6102731,1513195,4589536
857,2670774,-2773238,5444012
75637,5922066,-3433846,9355912
862,6146327,5551434,594893
883,2784057,-382934,3166991
9463,3684939,-651980,4336919
864,6162494,3867657,2294837
875,9497397,7005995,2491402
7535,3279920,-1349093,4629013
7805,5587338,5274072,313266
3773,3917815,-1158414,5076229
7268,9591636,1789701,7801935
801,6092861,-2841574,8934435
7531,8369670,1370370,6999300
7382,4293789,3193968,1099821
869,8540143,-1354207,9894350
7201,3612821,-202453,3815274
11684,1563736,-2689247,4252983
10599,6431039,5253662,1177377
7377,3183108,-4999636,8182744
7564,6171207,3048461,3122746
7686,2780814,-21204,2802018
830,3264267,-5026449,8290716
807,3371778,527705,2844073
870,9263298,9153300,109998
7916,2622814,-1917839,4540653
78025,6744218,5024678,1719540
75830,2114183,-6217678,8331861
7544,4417760,2342268,2075492
72111,9299334,1551335,7747999
75265,7950413,5513243,2437170
822,1844709,-7515234,9359943
7652,1702732,-3520032,5222764
75912,6309282,500444,5808838
10155,2166156,1291117,875039
70015,8919731,-537225,9456956
7702,4625366,-468182,5093548
72107,4184710,-521529,4706239
872,4778186,1511798,3266388
75513,4542743,-10537,4553280
8741,5295175,-1490428,6785603
7234,8340032,-526733,8866765
72163,4780509,3424950,1355559
824,6540687,-1531766,8072453
11726,9943800,2568866,7374934
7551,1259287,-7984368,9243655
7823,4648064,-5159023,9807087
2767,4420792,-5215407,9636199
867,3310655,-469635,3780290
75363,6065751,-2113934,8179685
7384,8237812,149084,8088728
7224,5416731,4831143,585588
7804,8940947,3446308,5494639
7336,5526318,-2919594,8445912
7481,9759714,9161134,598580
16439,5634390,472116,5162274
76139,5956540,-262426,6218966
811,5715484,1089628,4625856
835,4361426,-139283,4500709
7797,3806535,2648887,1157648
76403,8154914,4719944,3434970
880,2003268,-7892785,9896053
7270,3287366,-4275449,7562815
8956,5631598,-2683195,8314793
7301,4196032,-48045,4244077
7808,3814993,-4326098,8141091
7227,4328863,682816,3646047
7314,6880498,6323518,556980
10962,4600432,-5249652,9850084
868,4981670,335993,4645677
16092,9546036,90248,9455788
7565,3953561,-4958689,8912250
7992,4686544,1670850,3015694
15209,3639644,-6167524,9807168
7218,9207000,-497660,9704660
874,2418592,-2935339,5353931
9523,8316265,2083965,6232300
7328,2544622,-2002567,4547189
70090,5528594,-3719164,9247758
7399,5545316,-2095367,7640683
10167,8782142,6700741,2081401
13718,2623298,-2767564,5390862
7718,5773280,-2076975,7850255
7861,7098539,2300515,4798024
7406,7888027,-2068517,9956544
7844,6324912,-1165271,7490183
79377,4547180,402709,4144471
76412,2098448,-3348897,5447345
9922,8744297,4968315,3775982
7528,5988051,-1324715,7312766
7210,8268391,-1242262,9510653
11974,8301776,3283494,5018282
13631,4942898,-1466877,6409775
7614,1087304,412867,674437
7884,6626984,673912,5953072
15617,7752316,7584426,167890
10284,4394983,1177986,3216997
7432,4411263,-1776416,6187679
7701,4499721,4005295,494426
7635,4701357,2338500,2362857
75419,7196953,1246288,5950665
75901,5958325,-2898425,8856750
10046,6243110,-2347225,8590335
7485,3586699,-1514355,5101054
75705,5501875,-3609025,9110900
7447,9973133,3725567,6247566
70319,7537639,3528656,4008983
14795,8796829,7322412,1474417
7503,1355221,-3512088,4867309
7986,2307802,276510,2031292
73804,1033126,-1025759,2058885
7411,9697736,6335658,3362078
14745,6896625,3521862,3374763
76547,7818871,-9158,7828029
10353,2044335,-7883931,9928266
7388,7105457,2245891,4859566
11903,7546773,-1229698,8776471
7461,3122658,-4214538,7337196
76307,5248279,-3425002,8673281
76582,4258908,-3374577,7633485
7813,1867257,-2390279,4257536
76268,2419710,-116997,2536707
9265,3364522,1621669,1742853
7651,5766587,328550,5438037
11811,3765014,-1306492,5071506
8646,7233756,6498596,735160
2747,2823902,-5004696,7828598
76306,4799574,-1076919,5876493
15620,5141682,4932516,209166
10948,4019253,-1884637,5903890
7752,1134984,-4386144,5521128
2783,6850211,4372205,2478006
9641,3021518,-5485765,8507283
72572,3629709,2985722,643987
16976,7729639,6938414,791225
79465,6715811,2983082,3732729
10264,1368414,-3175713,4544127
10329,5327616,-1146168,6473784
15413,8799762,4419630,4380132
10283,1092168,-1146466,2238634
10045,9664056,-44900,9708956
14368,4537970,3225839,1312131
7252,9965961,9513313,452648
7668,3822256,-3210032,7032288
76780,6439513,-1995780,8435293
9292,8784201,6748164,2036037
76967,2990210,1157877,1832333
4196,9023461,8032109,991352
7455,1531183,-520481,2051664
7505,4642439,-359960,5002399
9846,6479852,4348930,2130922
13783,1349746,-5018968,6368714
804,8921876,7022818,1899058
7722,2322442,2128350,194092
10020,9989966,9192927,797039
855,5097737,3291208,1806529
7576,3417330,-5175883,8593213
7864,3658972,-1456095,5115067
11782,3047433,-1706998,4754431
76137,6618095,3744018,2874077
73758,1455051,-244682,1699733
9601,2845813,-5578308,8424121
7397,3275807,-4197140,7472947
79470,7128813,2477478,4651335
7220,6359866,1289788,5070078
9493,8465169,4820731,3644438
72248,6571203,1208815,5362388
7220,5997997,1509982,4488015
7230,3312515,-5797487,9110002
14217,4997480,-4100021,9097501
7580,8432081,1087384,7344697
7728,5875831,4011696,1864135
842,2614175,-1193276,3807451
2782,3767929,-3597725,7365654
15619,3198302,-5668567,8866869
7654,4899595,-4310226,9209821
7307,2058249,-4259860,6318109
877,1586566,-4915313,6501879
73725,1228814,-4381649,5610463
2962,8159047,6200226,1958821
11172,4539121,2129066,2410055
7235,8123948,3753576,4370372
14784,5586923,5433182,153741
9308,9704245,2059096,7645149
7477,8538570,8393722,144848
76284,7767804,7425357,342447
76269,3397407,-2417312,5814719
16303,1647599,-2953711,4601310
7367,8830797,3776545,5054252
7482,9250338,1664146,7586192
7366,9474875,955528,8519347
75540,6558265,3194177,3364088
14466,1138070,-1539250,2677320
805,5027051,3677449,1349602
7509,1972497,-7033963,9006460
76990,9701086,4621084,5080002
815,3734602,2573143,1161459
76705,2623473,-5490883,8114356
8645,1554732,-2816742,4371474
7824,4440613,-4773473,9214086
72439,4441980,1541689,2900291
7836,2883573,1540812,1342761
13587,7200105,127285,7072820
7302,3547896,-4034756,7582652
14543,5122513,-867002,5989515
7287,5058437,822370,4236067
7247,5718307,-2458742,8177049
7633,7585672,6710270,875402
2850,8173796,3801156,4372640
7645,8585658,7624366,961292
9985,1068821,-8183821,9252642
7400,5322876,501102,4821774
10202,4846228,-3312512,8158740
7883,9059949,6652144,2407805
9834,4549885,-5402212,9952097
11128,7397844,2718518,4679326
8808,4074556,3798488,276068
7913,2994479,-4120127,7114606
76679,5924372,266480,5657892
9640,6560430,4658604,1901826
878,8049996,6956330,1093666
4730,9697673,-270013,9967686
10500,4839552,3111035,1728517
9423,1491461,679040,812421
851,4384155,-1193711,5577866
848,5885474,-427332,6312806
6999,8607876,7399551,1208325
7306,8908157,1377165,7530992
75175,2848805,262644,2586161
7508,9696471,279225,9417246
7251,1649917,-3572920,5222837
853,7602268,5214135,2388133
7300,3367274,3064397,302877
10949,4691399,3519138,1172261
7740,9494734,1994810,7499924
11678,9731656,6223505,3508151
4195,4119108,2945261,1173847
7616,7861803,2629268,5232535
8644,3748613,-2911216,6659829
7751,8087608,-686408,8774016
7863,5170660,3317751,1852909
76851,1582336,-6781077,8363413
76958,6602523,-3388785,9991308
3434,3690234,616625,3073609
7741,4047987,-2802116,6850103
76550,1785608,-4809923,6595531
7862,9735116,8899431,835685
9986,8694040,1145435,7548605
3857,4712249,3792684,919565
15679,6447018,3613657,2833361
16899,6180899,-2283029,8463928
10190,4324490,-4355393,8679883
76553,1845719,-6592047,8437766
8810,7757645,-1993195,9750840
10274,1154846,-5042329,6197175
7742,7953916,2536950,5416966
73864,8807784,3453857,5353927
845,9757605,8405997,1351608
7831,3331904,-3376821,6708725
2950,2002584,-4520087,6522671
15149,2370420,-101456,2471876
8958,8397009,1112196,7284813
76484,8673919,3765246,4908673
9925,2846889,608295,2238594
7228,2770249,-204494,2974743
15513,4406883,-3657105,8063988
76314,9156564,93115,9063449
10378,5146252,-3755500,8901752
3433,2901819,-6905902,9807721
7419,8448100,5448204,2999896
10513,9831694,1238387,8593307
7922,3676877,1313711,2363166
11275,8994076,5749212,3244864
75922,2985419,2567603,417816
13661,8549288,4307836,4241452
7355,4611687,-2528708,7140395
9667,6258545,-206875,6465420
78055,2509682,-5491377,8001059
7219,6734207,-702555,7436762
15660,4995861,3505426,1490435
7430,9065147,-218689,9283836
76938,6109275,670886,5438389
3917,2925902,505693,2420209
78027,8381688,4531790,3849898
78039,6070344,2376809,3693535
13668,3535909,-3115038,6650947
7678,2848187,-3080520,5928707
72431,2708083,1364221,1343862
75393,6097884,3815408,2282476
7390,4589380,-5012623,9602003
79349,2892051,1816681,1075370
11194,1041406,-1807868,2849274
13452,2584783,-6855471,9440254
11810,6597030,598007,5999023
76286,3917108,2496236,1420872
7379,6449913,2210235,4239678
15207,3704731,-4262137,7966868
3503,8342372,179591,8162781
7335,3749789,-2875758,6625547
11064,5128328,-688155,5816483
75892,5506051,3167720,2338331
2851,8680796,1713756,6967040
7639,9168035,3565748,5602287
76781,5344972,-2173932,7518904
76965,8489334,7355805,1133529
7664,1632541,-7695692,9328233
14269,4662641,3003743,1658898
7692,6654022,-2462481,9116503
7272,5994561,4910765,1083796
10397,3565396,-1729098,5294494
7363,9478245,6401117,3077128
10515,2821289,1326451,1494838
7351,3323594,448803,2874791
7936,1835172,-1967160,3802332
7705,7589858,-1285833,8875691
7889,2796274,-6432850,9229124
7288,7690698,-1459124,9149822
7499,2806195,-458820,3265015
10047,2102369,-3422972,5525341
7484,8004111,3751138,4252973
14159,1748871,-1221507,2970378
7681,2293404,-2482222,4775626
75891,9010997,2848509,6162488
75713,7221791,2058928,5162863
76357,3403126,-2229390,5632516
9529,1865138,-2604510,4469648
76558,8253490,3171727,5081763
15742,7331679,6670229,661450
9052,9549255,1183691,8365564
7712,8032472,-454064,8486536
7374,2077021,-4899858,6976879
76680,5396300,-3688163,9084463
10377,6587233,-1894009,8481242
7726,6797182,-2456542,9253724
15819,2316931,-3457386,5774317
11630,9765810,2853516,6912294
5104,7827873,1903023,5924850
7885,3716794,2924591,792203
15780,2409369,-1137870,3547239
7602,1734009,155135,1578874
11849,7168442,38924,7129518
5022,6826919,-299827,7126746
7599,4179003,481205,3697798
76700,4191939,-4737114,8929053
7229,1140511,-2718849,3859360
2798,4202704,-2141384,6344088
76837,9792120,1863970,7928150
75939,1581316,286373,1294943
14474,7310038,326857,6983181
7250,4685834,-3841138,8526972
73958,4945417,-4573472,9518889
7418,6063311,1720804,4342507
15703,7194336,4171367,3022969
73943,8034009,6890002,1144007
73778,4938963,-716213,5655176
4193,3107719,-4797048,7904767
7850,7282733,1604301,5678432
7434,1543416,-5289195,6832611
16156,5739680,5378962,360718
7433,5934690,1666897,4267793
11917,4282845,212107,4070738
7408,2799734,-2730659,5530393
2830,8381646,1956914,6424732
11267,8097163,5885400,2211763
75683,2043268,934720,1108548
75938,6593136,3331095,3262041
13715,2303320,-5078380,7381700
7549,1926178,-6162970,8089148
9709,1877124,-5370272,7247396
76551,5669980,1607937,4062043
9299,3017174,-5673776,8690950
8837,8530516,3573334,4957182
70036,6600879,3728081,2872798
76877,4830929,1826738,3004191
9837,4768547,1974805,2793742
9270,5901107,-2188483,8089590
76191,6677621,5125753,1551868
8503,2310592,1123319,1187273
10301,2766434,2250043,516391
3473,8572881,4831491,3741390
7629,1154287,-6708458,7862745
70085,7875678,4710026,3165652
11065,7458439,-1077587,8536026
10610,8634938,1671621,6963317
76962,8335868,7368883,966985
79407,6390361,3156500,3233861
7504,2054209,-927095,2981304
76318,2995650,-2130458,5126108
814,5733855,3208611,2525244
7326,5925389,1820656,4104733
829,1434225,-7229572,8663797
806,8296109,2748626,5547483
78076,1145005,-6826581,7971586
8795,4394577,-1005978,5400555
11855,7200900,1071573,6129327
813,7174666,1462111,5712555
9369,9516028,8349860,1166168
9662,3263549,739332,2524217
3466,6769816,6538358,231458
2879,5867104,3464025,2403079
7431,3926329,-1483348,5409677
832,6110015,2165454,3944561
7520,7761179,3915664,3845515
10514,9905920,683064,9222856
2789,1721790,-7701393,9423183
7278,1836236,-7601402,9437638
7225,2696078,-4561359,7257437
7303,1475649,-3514744,4990393
15465,7726417,7140787,585630
7304,5148930,3156809,1992121
7901,7719109,7352839,366270
7209,4597168,-4343579,8940747
73950,5346887,-1514588,6861475
7331,6811030,4443928,2367102
11973,3129928,2804229,325699
7449,4752829,4286574,466255
10464,6576396,-3292444,9868840
7203,5261930,2573446,2688484
72573,8667389,698722,7968667
75887,8376224,2837365,5538859
803,3618533,-5752086,9370619
76465,1761782,16897,1744885
11588,3469675,2360940,1108735
7543,3956662,4073,3952589
11588,7640518,1408471,6232047
14369,1790419,-5791170,7581589
76285,1713174,-593705,2306879
7624,6691509,4507238,2184271
14785,8479564,5341145,3138419
76428,1519245,-2187910,3707155
7246,6864774,3159658,3705116
7746,8269793,6084411,2185382
14770,7691531,7069564,621967
10837,7752770,1055755,6697015
11369,2872842,2566925,305917
7582,1219807,220296,999511
7627,2073697,-2805814,4879511
7592,5099243,-112657,5211900
884,9674904,276928,9397976
7464,2451546,239624,2211922
79421,3245620,-2016195,5261815
14240,9251342,4010641,5240701
73747,1402256,-6627998,8030254
13450,8026598,7916669,109929
13535,7507947,1407119,6100828
7391,1316057,-7041204,8357261
7642,3885131,2538183,1346948
73906,5513104,-3879642,9392746
7494,4309033,-3729039,8038072
7745,8634948,4069852,4565096
11931,5816555,2900956,2915599
7559,7743659,6603927,1139732
7296,5256641,-1640151,6896792
76351,2681182,-3959538,6640720
7413,3251702,-940325,4192027
9282,4251399,-2051585,6302984
76239,3536017,-3183125,6719142
9077,5710781,3807154,1903627
7232,7976788,3911575,4065213
73937,5513420,-3426107,8939527
7248,1289905,-4684028,5973933
7539,4599778,-4514565,9114343
3928,8654257,2359422,6294835
7395,2770448,1759522,1010926
7640,8699424,6661677,2037747
8840,1278195,-6688502,7966697
14300,1933538,1793071,140467
846,5037114,-4796022,9833136
3863,1801145,-7293952,9095097
11933,9496135,8614309,881826
7349,9891104,6224145,3666959
7897,6481781,4075830,2405951
7217,7780323,3289492,4490831
11273,2349107,149611,2199496
11648,2132435,-7530773,9663208
73855,3398186,-6189447,9587633
7425,6008723,3164335,2844388
7256,6987674,3227636,3760038
2787,6715103,3306669,3408434
14296,7645597,4339002,3306595
2972,8148074,4288884,3859190
11536,5963062,164639,5798423
7555,8801369,7874396,926973
14317,8498801,6463336,2035465
13133,5485289,-497425,5982714
7471,5978461,-54388,6032849
1379,1189329,-4724910,5914239
7456,8841448,7115539,1725909
14601,8696369,6622658,2073711
70059,8192902,3963287,4229615
70026,8248322,7104869,1143453
72429,9077620,5340215,3737405
73708,6186042,5343725,842317
75803,8894490,175928,8718562
7910,4708222,-1553327,6261549
14441,1375358,-1774711,3150069
7567,1060206,-2060723,3120929
11812,5491557,5379097,112460
73859,1214765,-6398866,7613631
75968,2314579,-4961496,7276075
75953,4859389,4660968,198421
75841,4064188,-88081,4152269
14840,5452003,4769866,682137
9663,2349173,-2122762,4471935
5114,6112306,461543,5650763
7663,9131118,3386907,5744211
7558,7680629,3454466,4226163
7407,4968941,-3321097,8290038
11370,3672271,-2019059,5691330
7672,9817467,2985827,6831640
7216,6709692,5670652,1039040
8770,1852311,-2781632,4633943
11277,2716677,-2285785,5002462
9439,9552015,8260546,1291469
818,5171925,-1220637,6392562
817,7453099,1191846,6261253
7682,1926412,-849377,2775789
823,8476286,-108828,8585114
15685,5612645,-1291455,6904100
10751,1580865,-1642167,3223032
7429,1342035,-5152123,6494158
821,1067182,-1103614,2170796
70349,4829365,-469441,5298806
7612,6445580,703300,5742280
2973,2401579,1525053,876526
10608,4683831,-4499161,9182992
10693,8834612,6273040,2561572
7525,7817805,-1588707,9406512
7404,1318377,941215,377162
10841,9023498,4078588,4944910
7655,6925966,-1242571,8168537
7557,2361472,-693300,3054772
7761,6592871,-828175,7421046
7852,8722970,7728668,994302
7802,3063488,1403614,1659874
10643,8041224,791832,7249392
7370,7370432,-507719,7878151
7608,9306017,4766966,4539051
7534,3536283,-3447187,6983470
7386,1155266,-8318873,9474139
14218,7459176,-1678838,9138014
7755,1580846,-273091,1853937
7223,2375717,-5495014,7870731
7699,5604013,552631,5051382
7474,9652784,8170266,1482518
7533,3641392,470932,3170460
7352,8117135,796563,7320572
14498,4623560,4425978,197582
7394,7530986,6212959,1318027
839,5206931,-4517571,9724502
7709,2770197,-6393526,9163723
7317,3601399,-4836159,8437558
7874,2318331,-2656407,4974738
7492,8199333,5446564,2752769
73856,6716584,6313689,402895
7354,9235410,5457797,3777613
13982,8622637,-891991,9514628
7518,1799281,-2439011,4238292
819,7114660,-955932,8070592
73858,5712198,-3621525,9333723
879,8262142,-841610,9103752
11738,7401238,7266996,134242
7860,6088031,-3894383,9982414
76491,4730041,3626136,1103905
7271,1671198,-3530149,5201347
72437,9979909,9873174,106735
11929,4321991,-2631544,6953535
7700,8101923,4287645,3814278
7445,4181322,-3519592,7700914
7428,2908189,-6935692,9843881
7346,1495241,-851921,2347162
11765,3181247,1030906,2150341
10279,4129626,-3762607,7892233
7344,5539773,4447426,1092347
9241,7312081,1371953,5940128
13262,3939682,-2427475,6367157
7575,6104705,-1776691,7881396
13455,5359363,-892526,6251889
7342,7811830,5802678,2009152
13454,1654135,-214897,1869032
11928,3002630,1680169,1322461
14497,6106207,-3582431,9688638
7698,5709940,3682579,2027361
7465,7428181,3123852,4304329
7245,6114383,5100360,1014023
8614,9994160,426743,9567417
7696,2681658,-783314,3464972
76237,2928720,-2130538,5059258
75491,3750580,-2366086,6116666
8615,4754785,-4700534,9455319
9240,2191344,1649364,541980
2784,8340181,-386187,8726368
75847,3634679,-5519942,9154621
8965,6117719,-3880386,9998105
8992,8984076,8049670,934406
9239,7783572,2239274,5544298
75846,3702711,-4229058,7931769
9239,6085172,2517910,3567262
7673,8286628,5597381,2689247
8126,2142736,-5779059,7921795
7424,7132400,3617704,3514696
11736,2910896,-5768838,8679734
2785,3154364,-5576020,8730384
7443,4828873,-5105661,9934534
7501,5238790,-4426981,9665771
852,8763825,2673992,6089833
7444,6100183,-3638276,9738459
15388,3513294,-3290763,6804057
7282,9316364,8957965,358399
7426,1021169,-2873797,3894966
7577,4654744,-3884533,8539277
7670,2607589,14131,2593458
9242,8840110,4897917,3942193
7426,7390373,-672364,8062737
7393,6059394,-1238207,7297601
14241,8027351,1430783,6596568
7215,3196790,-369644,3566434
7462,5001417,-1347338,6348755
75734,6206162,2181753,4024409
7373,9069007,-191145,9260152
7297,9105406,5627122,3478284
11737,2571057,-1834095,4405152
9244,2765200,-1185931,3951131
7506,8535859,6231418,2304441
7800,2183873,-4587074,6770947
7414,8675417,-757492,9432909
7222,7893822,-971577,8865399
75589,8647943,7951491,696452
7898,4992069,-4302701,9294770
8993,3691850,1961923,1729927
7611,1371399,533671,837728
15440,5725523,-3927896,9653419
7801,4020510,3340493,680017
14185,5537261,4896126,641135
11764,3614764,-5074163,8688927
7280,4586498,-416232,5002730
8769,2970418,-884422,3854840
7273,9257131,4336807,4920324
7263,5242411,4174438,1067973
8812,2845766,-1621016,4466782
7890,1714374,-4045742,5760116
7463,2815874,-3152636,5968510
9467,3184986,-913862,4098848
7511,3231512,2477824,753688
7468,9182708,4744500,4438208
7536,7019569,3380597,3638972
7238,9232966,8655654,577312
10784,1699636,-2393121,4092757
8130,1455677,-985066,2440743
16576,3648982,-5758176,9407158
831,7576584,1293850,6282734
7403,2235518,567041,1668477
14092,4220752,-3241071,7461823
14091,4222287,-3922041,8144328
11423,7017372,-1756437,8773809
7446,9748721,4736799,5011922
10392,4131430,-118674,4250104
7769,4545933,783921,3762012
7470,3314557,-5299978,8614535
7719,9005840,6468500,2537340
75682,8264200,5947671,2316529
7472,5519601,-1353452,6873053
75568,1457784,981939,475845
7472,3789841,-2105629,5895470
7739,8888588,-847345,9735933
7721,6426232,-1670812,8097044
7767,9669621,1824284,7845337
76557,3230045,2155924,1074121
70040,3999711,89516,3910195
7362,5680538,510425,5170113
10398,5431314,-3024312,8455626
882,8961180,-743208,9704388
73857,6817562,-680507,7498069
12457,3782835,-659967,4442802
7483,9037501,-844373,9881874
75556,7695364,1220349,6475015
76554,7994011,944359,7049652
14295,3287705,3074013,213692
7923,7537203,6641441,895762
2863,9752491,3474819,6277672
79489,7668602,760507,6908095
7207,2229234,-3675655,5904889
72409,1302046,103202,1198844
76937,6557680,6294511,263169
75579,2521219,1026558,1494661
75593,6891361,-141754,7033115
7888,4825811,-3065219,7891030
7276,5131984,-4249289,9381273
7292,5919988,-2499869,8419857
7226,2488823,1953274,535549
9958,2463185,-2580699,5043884
73780,6062800,5331463,731337
7545,4712663,-3976657,8689320
7291,8069304,855518,7213786
7438,9745897,3594288,6151609
10326,7620820,2551031,5069789
8811,1898565,-1460251,3358816
75943,4951790,4677150,274640
11363,9765634,6140989,3624645
75299,4997499,22162,4975337
7646,7053300,875357,6177943
7361,9327810,724906,8602904
73870,4823107,-2891050,7714157
7552,6462801,6158850,303951
73920,2316195,-1968975,4285170
11808,1261540,84486,1177054
2864,9651417,8046125,1605292
7617,6670758,-2359027,9029785
72451,8696440,-782913,9479353
13983,7399091,6966842,432249
7243,8462059,3981939,4480120
8131,1081183,-6024174,7105357
7921,8933793,8347254,586539
7843,7847145,-278587,8125732
13383,5609353,3664902,1944451
859,1698986,-7074725,8773711
13350,4802638,1453986,3348652
7475,1224907,-3364443,4589350
7669,6048869,1116278,4932591
7398,6642092,1070862,5571230
7383,4906847,4234388,672459
7244,3618348,3280444,337904
7920,9918776,2986907,6931869
13856,5863269,4770147,1093122
7416,2325192,-2388019,4713211
75874,9996465,2229034,7767431
76238,6815628,-1891377,8707005
10282,2803753,-3443373,6247126
9056,4704222,-5232221,9936443
7788,5640283,-3618887,9259170
9238,4548081,-2433017,6981098
3438,3705764,-5133747,8839511
9237,8017537,7339877,677660
7513,6925580,-2535082,9460662
7691,1589379,809724,779655
7878,3557680,-5959350,9517030
7375,9176524,7430693,1745831
7493,2005343,-6662016,8667359
7595,6844345,884699,5959646
11807,6236791,-647097,6883888
14318,8789778,8457104,332674
9273,2795233,-1272403,4067636
844,3992275,2363790,1628485
7560,5355916,2081338,3274578
14841,5010681,-4382388,9393069
844,1677706,-1724937,3402643
7348,5278726,-102353,5381079
849,8210817,7769740,441077
7466,1827791,-4082211,5910002
7358,1899849,-4861611,6761460
7441,8144035,6789572,1354463
7566,4730422,4019421,711001
